Files	barcode	Annotation Type	compartment	well_id	z_plane	channel	source image
results/PB000137/segmentation/cell_segmented_B02_0.npy	PB000137	Segmentation masks	cell	B02	0	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B02-z0-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B02_1.npy	PB000137	Segmentation masks	cell	B02	1	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B02-z1-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B02_10.npy	PB000137	Segmentation masks	cell	B02	10	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B02-z10-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B02_11.npy	PB000137	Segmentation masks	cell	B02	11	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B02-z11-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B02_12.npy	PB000137	Segmentation masks	cell	B02	12	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B02-z12-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B02_13.npy	PB000137	Segmentation masks	cell	B02	13	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B02-z13-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B02_14.npy	PB000137	Segmentation masks	cell	B02	14	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B02-z14-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B02_15.npy	PB000137	Segmentation masks	cell	B02	15	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B02-z15-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B02_2.npy	PB000137	Segmentation masks	cell	B02	2	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B02-z2-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B02_3.npy	PB000137	Segmentation masks	cell	B02	3	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B02-z3-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B02_4.npy	PB000137	Segmentation masks	cell	B02	4	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B02-z4-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B02_5.npy	PB000137	Segmentation masks	cell	B02	5	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B02-z5-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B02_6.npy	PB000137	Segmentation masks	cell	B02	6	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B02-z6-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B02_7.npy	PB000137	Segmentation masks	cell	B02	7	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B02-z7-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B02_8.npy	PB000137	Segmentation masks	cell	B02	8	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B02-z8-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B02_9.npy	PB000137	Segmentation masks	cell	B02	9	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B02-z9-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B04_0.npy	PB000137	Segmentation masks	cell	B04	0	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B04-z0-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B04_1.npy	PB000137	Segmentation masks	cell	B04	1	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B04-z1-PHAandWGA.ome.tiff
results/PB000137/segmentation/cell_segmented_B04_10.npy	PB000137	Segmentation masks	cell	B04	10	PHAandWGA	spher-colo52/PB000137_spher-colo52_HCT116_L1/Well-B04-z10-PHAandWGA.ome.tiff
